"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953309","2.19","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953309","2.19","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953309","2.19","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953309","2.19","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953310","2.20","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953310","2.20","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953310","2.20","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953310","2.20","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953310","2.20","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953310","2.20","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953310","2.20","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953310","2.20","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953311","2.21","6515","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953311","2.21","6369","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953311","2.21","6247","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953311","2.21","6201","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953311","2.21","6000","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953311","2.21","5619","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953311","2.21","5408","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953311","2.21","5307","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953312","2.22","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953312","2.22","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953312","2.22","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953312","2.22","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953312","2.22","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953312","2.22","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953312","2.22","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953312","2.22","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953314","3.2","5890","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953314","3.2","5603","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953314","3.2","5606","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953314","3.2","5669","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953314","3.2","5535","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953314","3.2","5279","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953314","3.2","5284","","","","0"
"2024/2025","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953314","3.2","5443","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953315","3.3","","..","","","0"
"2018/2019","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953315","3.3","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953315","3.3","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953315","3.3","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953315","3.3","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953315","3.3","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953315","3.3","","..","","","0"
"2024/2025","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953315","3.3","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953316","3.4","","..","","","0"
"2018/2019","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953316","3.4","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953316","3.4","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953316","3.4","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953316","3.4","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953316","3.4","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953316","3.4","","..","","","0"
"2024/2025","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953316","3.4","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953317","3.5","4401","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953317","3.5","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953317","3.5","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953317","3.5","7433","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953317","3.5","7264","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953317","3.5","6938","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953317","3.5","6946","","","","0"
"2024/2025","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953317","3.5","7155","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953318","3.6","","..","","","0"
"2018/2019","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953318","3.6","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953318","3.6","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953318","3.6","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953318","3.6","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953318","3.6","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953318","3.6","","..","","","0"
"2024/2025","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953318","3.6","","..","","","0"
